ifsc,bank_id,branch,address,city,district,state,bank_name
ICIC00SJDCB,8,SHAHJAHANPUR DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,"PRADHAN KARYALA, CIVIL LINES, NEAR KUCHHERY, SHAHJAHANPUR 242001",SHAHJAHANPUR,SHAHJAHANPUR,UTTAR PRADESH,ICICI BANK LIMITED
ICIC00SKSBN,8,SRI KALIDASA SAHAKARA BANK NIYAMITHA,"KURUBARA SANGHA BUILDING, 2ND MAIN, 2ND CROSS, GANDHINAGAR, BANGALORE ┬û 560 009",BANGALORE,BANGALORE URBAN,KARNATAKA,ICICI BANK LIMITED
ICIC00SMCUB,8,THE SECUNDERABAD MERCANTILE CO-OP URBAN BANK LTD,"1ST FLOOR, 2-4-52, M G ROAD, SECUNDERABAD, HYDERABAD ┬û 500003",SECUNDERABAD CANTONMENT,HYDERABAD,ANDHRA PRADESH,ICICI BANK LIMITED
ICIC00SMNSB,8,SANMITRA MAHILA NAGRI SAHAKARI BANK,2ND FLOOR KATYANI RUGNALAYA BALAJI WARD CHANDRAPUR 442401,CHANDRAPUR,CHANDRAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SMRTH,8,SAMARTH SAHAKARI BANK LTD,"2 ANTROLIKAR SHOPPING CENTRE, DATTA CHOWK, SOLAPUR",SOLAPUR,SOLAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SMSBL,8,SHRIMANT MALOJIRAJE SAHAKARI BANK LTD,"MUDHOJI MANMOHAN RAJWADA PARISAR, PHALTAN ┬û 415523 , DIST SATARA,MAHARASHTRA",PHALTAN,SATARA,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SNSBL,8,THE SINOR NAGARIK SAHAKARI BANK LTD,AT & TA & PO - SINOR -391115  DIST ? BARODA  GUJARAT,SINOR,VADODARA,GUJARAT,ICICI BANK LIMITED
ICIC00SPCBL,8,THE SUVIKAS PEOPLE'S CO-OPERATIVE BANK LTD,"2ND FLOOR, SUN COMPLEX, NEAR STADIUM CIRCLE, C.G. ROAD, NAVRANGPURA, AHMEDABAD ┬û 380009,GUJRAT",AHMEDABAD,AHMADABAD,GUJARAT,ICICI BANK LIMITED
ICIC00SSBLI,8,SANMATI SAHAKARI BANK LTD ICHALKARANJI,"7-111, LAXMI MARKET,MAIN ROAD,JANTA CHAWK, ICHALKARNJI.416115.",ICHALKARANJI,KOLHAPUR,MAHARASHTRA,ICICI BANK LIMITED
ICIC00SUCBO,8,SAMARTH URBAN COOP BANK LTD,KALA MARUTI CHOWK MAIN ROAD OSMANABAD-413501,OSMANABAD,OSMANABAD,MAHARASHTRA,ICICI BANK LIMITED
